"","SEQN","Schooling"
"1490",1490,NA
"1491",1491,NA
"1492",1492,NA
"1493",1493,5
"1494",1494,NA
"1495",1495,2
"1496",1496,NA
"1497",1497,NA
"1498",1498,4
"1499",1499,NA
"1500",1500,4
"1501",1501,4
"1502",1502,4
"1503",1503,5
"1504",1504,NA
"1505",1505,3
"1506",1506,1
"1507",1507,4
"1508",1508,1
"1509",1509,4
"1510",1510,NA
"1511",1511,1
"1512",1512,NA
"1513",1513,NA
"1514",1514,5
"1515",1515,NA
"1516",1516,NA
"1517",1517,1
"1518",1518,NA
"1519",1519,NA
"1520",1520,4
"1521",1521,NA
"1522",1522,NA
"1523",1523,NA
"1524",1524,5
"1525",1525,4
"1526",1526,4
"1527",1527,NA
"1528",1528,2
"1529",1529,3
"1530",1530,NA
"1531",1531,3
"1532",1532,1
"1533",1533,2
"1534",1534,5
"1535",1535,NA
"1536",1536,4
"1537",1537,NA
"1538",1538,5
"1539",1539,NA
"1540",1540,NA
"1541",1541,3
"1542",1542,NA
"1543",1543,5
"1544",1544,3
"1545",1545,3
"1546",1546,2
"1547",1547,3
"1548",1548,4
"1549",1549,NA
"1550",1550,5
"1551",1551,4
"1552",1552,2
"1553",1553,NA
"1554",1554,1
"1555",1555,1
"1556",1556,NA
"1557",1557,NA
"1558",1558,3
"1559",1559,NA
"1560",1560,NA
"1561",1561,3
"1562",1562,NA
"1563",1563,NA
"1564",1564,NA
"1565",1565,1
"1566",1566,4
"1567",1567,NA
"1568",1568,NA
"1569",1569,NA
"1570",1570,NA
"1571",1571,4
"1572",1572,NA
"1573",1573,2
"1574",1574,4
"1575",1575,NA
"1576",1576,NA
"1577",1577,NA
"1578",1578,1
"1579",1579,NA
"1580",1580,2
"1581",1581,1
"1582",1582,NA
"1583",1583,1
"1584",1584,NA
"1585",1585,3
"1586",1586,2
"1587",1587,NA
"1588",1588,4
"1589",1589,2
"1590",1590,5
"1591",1591,NA
"1592",1592,5
"1593",1593,1
"1594",1594,NA
"1595",1595,NA
"1596",1596,NA
"1597",1597,NA
"1598",1598,3
"1599",1599,NA
"1600",1600,5
"1601",1601,NA
"1602",1602,2
"1603",1603,2
"1604",1604,NA
"1605",1605,3
"1606",1606,2
"1607",1607,NA
"1608",1608,1
"1609",1609,1
"1610",1610,NA
"1611",1611,NA
"1612",1612,NA
"1613",1613,NA
"1614",1614,3
"1615",1615,NA
"1616",1616,4
"1617",1617,4
"1618",1618,3
"1619",1619,3
"1620",1620,4
"1621",1621,NA
"1622",1622,1
"1623",1623,1
"1624",1624,2
"1625",1625,1
"1626",1626,NA
"1627",1627,4
"1628",1628,4
"1629",1629,1
"1630",1630,NA
"1631",1631,2
"1632",1632,NA
"1633",1633,NA
"1634",1634,3
"1635",1635,NA
"1636",1636,NA
"1637",1637,NA
"1638",1638,1
"1639",1639,2
"1640",1640,NA
"1641",1641,3
"1642",1642,NA
"1643",1643,NA
"1644",1644,4
"1645",1645,NA
"1646",1646,NA
"1647",1647,5
"1648",1648,NA
"1649",1649,NA
"1650",1650,1
"1651",1651,4
"1652",1652,3
"1653",1653,NA
"1654",1654,NA
"1655",1655,NA
"1656",1656,NA
"1657",1657,NA
"1658",1658,NA
"1659",1659,4
"1660",1660,NA
"1661",1661,2
"1662",1662,5
"1663",1663,2
"1664",1664,NA
"1665",1665,NA
"1666",1666,2
"1667",1667,NA
"1668",1668,NA
"1669",1669,NA
"1670",1670,NA
"1671",1671,1
"1672",1672,3
"1673",1673,NA
"1674",1674,NA
